dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
5225,3,512,80,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5225,3,5585,2,0,21,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5225,3,417,112,1,21,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5225,3,888,39,1,21,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5225,3,1010,30,1,21,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5225,3,2000,8,1,21,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5225,3,5585,2,0,21,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5360,3,478,91,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5360,3,530,75,0,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4945,3,519,82,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4945,3,815,49,1,21,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4945,3,1730,9,0,21,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5055,3,815,50,1,21,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5055,3,895,39,1,21,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5055,3,782,53,1,21,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5055,3,6305,2,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5055,3,1835,9,0,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5105,3,555,78,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5105,3,433,113,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5105,3,1145,24,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5105,3,1360,15,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5105,3,1845,8,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
