dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
3670,3,1.08,1175,23,7.0,1,-7.71252566735113,59.48305216955,1,1,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0
3670,3,1.19,1445,17,4.5,1,-7.704312114989733,59.356425165177576,1,1,0.8,0,1,0,0,0,0,0,0,0,1,0,0,0
3670,3,1.3,1565,15,3.5,1,-7.701574264202602,59.31424614702785,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0
3670,3,4.5,7605,1,1.2,0,-7.698836413415467,59.272082120531934,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1
4145,3,1.08,535,70,7.0,1,-7.616700889801507,58.014132444703066,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0
4145,3,1.01,345,126,13.0,1,-7.611225188227241,57.9307488659048,0,0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0
4145,3,1.11,1465,16,6.0,1,-7.60848733744011,57.88907956398649,0,0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0
4145,3,1.11,529,73,6.0,1,-7.605749486652979,57.84742525372205,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0
4145,3,1.22,745,41,4.33,1,-7.603011635865844,57.805785935111416,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1
4370,3,1.19,905,32,4.33,1,-7.59479808350445,57.680957929202876,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0
4370,3,1.16,1285,23,4.5,1,-7.592060232717316,57.6393785772077,0,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0
4370,3,1.3,675,49,3.5,1,-7.5893223819301845,57.597814216866446,0,0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0
4370,3,1.4,1160,25,3.0,0,-7.586584531143053,57.55626484817906,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0
4470,3,1.33,2250,6,3.25,0,-7.526351813826146,56.645971625484115,0,0,0.6,0,0,0,1,0,0,0,0,0,0,1,0,0
4470,3,1.4,1830,8,2.75,0,-7.520876112251884,56.56357749584101,0,0,0.4,0,0,0,1,0,0,0,0,0,0,1,0,0
4470,3,4.5,5535,2,1.16,0,-7.515400410677618,56.48124333281331,0,0,0.2,0,0,0,1,0,0,0,0,0,0,1,0,0
4315,3,1.03,496,81,11.0,1,-7.348391512662559,53.99885782337113,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
4315,3,1.005,541,70,17.0,1,-7.342915811088297,53.9184126087305,1,1,0.2,0,1,0,0,0,0,1,0,0,0,0,0,0
4315,3,1.03,588,62,11.0,1,-7.337440109514031,53.83802736070527,1,1,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0
4315,3,1.16,1385,22,4.5,1,-7.331964407939768,53.757702079295555,1,1,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0
